nohup: ignoring input
/data2/ranran/chenghaoyue/ISGFAN/Data/dataset.py:176: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  cache = torch.load(TEST_DATA_PATH)

Initializing data loaders ...

Loading existing test dataset from /data2/ranran/chenghaoyue/ISGFAN/Data/test_dataset.pt

Data Statistics
Source Train : 2100
Target (no y): 2100
Test (y)     : 2100
2026-03-06 01:59:04,403 - INFO - [Epoch 240/3500] loss_total=0.616538, loss_main=0.206222, loss_diff_source=96.454424, loss_label_inv=2.260339, loss_global_dom=0.640773, loss_recon=0.244011, loss_local_dom=0.462538, loss_centroid=0.000000, loss_consistency=0.000000, grl=0.3299, lr=0.00009887, epoch_time=00:00:04, eta=03:56:54
2026-03-06 01:59:48,956 - INFO - [Epoch 250/3500] loss_total=0.587442, loss_main=0.172990, loss_diff_source=95.571622, loss_label_inv=2.292676, loss_global_dom=0.646388, loss_recon=0.200190, loss_local_dom=0.547246, loss_centroid=0.000000, loss_consistency=0.000000, grl=0.3425, lr=0.00009877, epoch_time=00:00:04, eta=03:56:23
2026-03-06 02:00:33,605 - INFO - [Epoch 260/3500] loss_total=0.596173, loss_main=0.173964, loss_diff_source=99.589452, loss_label_inv=2.481679, loss_global_dom=0.654625, loss_recon=0.187396, loss_local_dom=0.582302, loss_centroid=0.000000, loss_consistency=0.000000, grl=0.3551, lr=0.00009867, epoch_time=00:00:04, eta=03:55:52
2026-03-06 02:01:18,303 - INFO - [Epoch 270/3500] loss_total=0.560666, loss_main=0.149315, loss_diff_source=95.649169, loss_label_inv=2.370440, loss_global_dom=0.645711, loss_recon=0.193503, loss_local_dom=0.566981, loss_centroid=0.000000, loss_consistency=0.000000, grl=0.3675, lr=0.00009856, epoch_time=00:00:04, eta=03:55:21
2026-03-06 02:02:03,204 - INFO - [Epoch 280/3500] loss_total=0.583647, loss_main=0.164767, loss_diff_source=94.174680, loss_label_inv=2.317834, loss_global_dom=0.654462, loss_recon=0.175075, loss_local_dom=0.569446, loss_centroid=0.000000, loss_consistency=0.000000, grl=0.3798, lr=0.00009846, epoch_time=00:00:04, eta=03:54:50
2026-03-06 02:02:47,992 - INFO - [Epoch 290/3500] loss_total=0.595058, loss_main=0.172347, loss_diff_source=91.468301, loss_label_inv=2.299115, loss_global_dom=0.660517, loss_recon=0.168053, loss_local_dom=0.563810, loss_centroid=0.000000, loss_consistency=0.000000, grl=0.3920, lr=0.00009834, epoch_time=00:00:04, eta=03:54:18
2026-03-06 02:03:32,689 - INFO - [Epoch 300/3500] loss_total=0.605202, loss_main=0.179815, loss_diff_source=93.343637, loss_label_inv=2.295230, loss_global_dom=0.659521, loss_recon=0.163624, loss_local_dom=0.580268, loss_centroid=0.000000, loss_consistency=0.000000, grl=0.4040, lr=0.00009823, epoch_time=00:00:04, eta=03:53:44
2026-03-06 02:03:32,883 - INFO - [Eval @ Epoch 300/3500] test_loss=0.404040, test_acc=0.8714
2026-03-06 02:04:17,890 - INFO - [Epoch 310/3500] loss_total=0.594404, loss_main=0.172479, loss_diff_source=90.826709, loss_label_inv=2.293575, loss_global_dom=0.661907, loss_recon=0.160910, loss_local_dom=0.555557, loss_centroid=0.000000, loss_consistency=0.000000, grl=0.4159, lr=0.00009811, epoch_time=00:00:04, eta=03:53:14
2026-03-06 02:05:03,386 - INFO - [Epoch 320/3500] loss_total=0.568042, loss_main=0.149222, loss_diff_source=90.619599, loss_label_inv=2.293826, loss_global_dom=0.656044, loss_recon=0.158076, loss_local_dom=0.593733, loss_centroid=0.000000, loss_consistency=0.000000, grl=0.4276, lr=0.00009798, epoch_time=00:00:04, eta=03:52:46
